[Mon Sep 24 10:05:59.959061 2018] [proxy_fcgi:error] [pid 2234] [client 192.168.33.143:55608] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 10:07:34.515672 2018] [proxy_fcgi:error] [pid 17359] [client 192.168.33.143:55756] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 10:09:20.205660 2018] [proxy_fcgi:error] [pid 2237] [client 192.168.33.143:55931] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 10:10:49.048478 2018] [proxy_fcgi:error] [pid 17352] [client 192.168.33.143:56080] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 10:11:59.253575 2018] [proxy_fcgi:error] [pid 2234] [client 192.168.33.143:56196] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 10:12:42.142083 2018] [proxy_fcgi:error] [pid 2233] [client 192.168.33.143:56269] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 10:14:32.959219 2018] [proxy_fcgi:error] [pid 2235] [client 192.168.33.143:56445] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 10:16:04.477145 2018] [proxy_fcgi:error] [pid 17352] [client 192.168.33.143:56601] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 10:17:28.194227 2018] [proxy_fcgi:error] [pid 2236] [client 192.168.33.143:56730] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 10:39:04.851668 2018] [proxy_fcgi:error] [pid 17353] [client 192.168.33.143:58884] AH01071: Got error 'PHP message: PHP Fatal error:  Call to undefined function obtienValor() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 7\n', referer: http://dev.avessoc.org.ve/wp-admin/post-new.php?post_type=page
[Mon Sep 24 12:36:17.569177 2018] [proxy_fcgi:error] [pid 2233] [client 192.168.33.143:54455] AH01071: Got error 'PHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\n', referer: http://dev.avessoc.org.ve/wp-admin/post-new.php?post_type=page
